city,Country,Date,latitude,longitude,Max Temperature,Humidity,Cloudiness,Wind_Speed
cootamundra,AZ,2018-11-15 17:30:00,38.91,46.02,48.2,70,6.93,75
cootamundra,CN,2018-11-15 18:24:36,28.26,109.7,51.04,100,8.61,100
cootamundra,MG,2018-11-15 18:00:00,-15.72,46.32,77.0,83,2.24,40
cootamundra,LY,2018-11-15 18:24:39,29.16,16.14,40.92,80,3.36,0
cootamundra,CO,2018-11-15 18:24:41,11.71,-72.27,79.62,84,14.43,24
cootamundra,AE,2018-11-15 17:00:00,24.47,54.37,80.6,36,12.75,0
cootamundra,FR,2018-11-15 18:00:00,43.56,6.97,53.6,93,3.36,0
cootamundra,CN,2018-11-15 18:24:44,47.83,88.13,-12.41,48,1.45,0
cootamundra,ZA,2018-11-15 18:00:00,-25.85,25.61,73.4,31,12.75,64
cootamundra,CN,2018-11-15 18:24:49,39.44,112.12,24.04,76,3.36,0
cootamundra,AU,2018-11-15 17:00:00,-25.24,130.99,75.2,53,6.93,90
cootamundra,KZ,2018-11-15 17:30:00,43.65,51.16,30.2,42,15.66,0
cootamundra,CN,2018-11-15 18:24:58,45.21,127.96,21.97,60,7.94,0
cootamundra,BR,2018-11-15 18:25:07,-9.17,-60.63,77.95,93,2.35,0
cootamundra,IN,2018-11-15 17:30:00,8.13,77.3,73.4,100,5.82,75
cootamundra,SE,2018-11-15 17:50:00,63.29,18.72,32.0,100,3.36,20
cootamundra,ES,2018-11-15 18:00:00,43.03,-8.81,53.6,87,8.05,0
